,class,layer,A,B,correlation,pvalue
180,junco_bird,conv_5,decoding_accuracy_delta,cka,0.5705882352941177,0.02099069636821777
181,junco_bird,conv_5,decoding_accuracy_delta,procrustes,0.5235294117647059,0.03741264813014936
182,junco_bird,conv_5,decoding_accuracy_delta,pwcca,0.4941176470588235,0.051723442249235474
183,junco_bird,conv_5,decoding_accuracy_delta,mean_sq_cca_corr,-0.5235294117647059,0.03741264813014936
184,junco_bird,conv_5,decoding_accuracy_delta,mean_cca_corr,-0.5235294117647059,0.03741264813014936
185,junco_bird,conv_5,ablation_impact,cka,0.030703171924317162,0.9101288703718857
186,junco_bird,conv_5,ablation_impact,procrustes,0.0368438063091806,0.8922439689304293
187,junco_bird,conv_5,ablation_impact,pwcca,0.024562537539453734,0.9280543186979642
188,junco_bird,conv_5,ablation_impact,mean_sq_cca_corr,-0.0368438063091806,0.8922439689304293
189,junco_bird,conv_5,ablation_impact,mean_cca_corr,-0.0368438063091806,0.8922439689304293
190,junco_bird,dense_1,decoding_accuracy_delta,cka,0.5647058823529412,0.02266320484418464
191,junco_bird,dense_1,decoding_accuracy_delta,procrustes,0.4852941176470588,0.05671771428191195
192,junco_bird,dense_1,decoding_accuracy_delta,pwcca,0.4911764705882353,0.053350435677943356
193,junco_bird,dense_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.5088235294117647,0.04413521823498383
194,junco_bird,dense_1,decoding_accuracy_delta,mean_cca_corr,-0.5088235294117647,0.04413521823498383
195,junco_bird,dense_1,ablation_impact,cka,0.02199127702745035,0.9355703365414365
196,junco_bird,dense_1,ablation_impact,procrustes,0.08011108059999769,0.7680515418332512
197,junco_bird,dense_1,ablation_impact,pwcca,0.05340738706666513,0.8442662556171706
198,junco_bird,dense_1,ablation_impact,mean_sq_cca_corr,-0.006283222007842957,0.981575169958901
199,junco_bird,dense_1,ablation_impact,mean_cca_corr,-0.006283222007842957,0.981575169958901
200,junco_bird,dense_2,decoding_accuracy_delta,cka,0.7147058823529412,0.0018627410999474353
201,junco_bird,dense_2,decoding_accuracy_delta,procrustes,0.6205882352941177,0.010313515549677674
202,junco_bird,dense_2,decoding_accuracy_delta,pwcca,0.6058823529411764,0.012860298533367193
203,junco_bird,dense_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.5558823529411765,0.025362176320607922
204,junco_bird,dense_2,decoding_accuracy_delta,mean_cca_corr,-0.55,0.027293972709730593
205,junco_bird,dense_2,ablation_impact,cka,0.2109835692563847,0.4328245656013414
