,class,layer,tile,decoding_accuracy_delta,ablation_impact,cka,procrustes,pwcca,mean_sq_cca_corr,mean_cca_corr
319,junco_bird,dense_1,15,-0.00034532812446186334,47.36,0.011291801929473877,0.006852269172668457,0.02375574127844493,0.9324106134669317,0.96433982563327
320,junco_bird,dense_2,0,-0.004114718951761409,0.0,0.0005970597267150879,0.0009706020355224609,0.2833077888419936,0.34686291679160713,0.5511545969078989
321,junco_bird,dense_2,1,-0.005834218262448121,0.0,0.001232445240020752,0.001582026481628418,0.28483478645751326,0.3449701424525465,0.5494235311958334
322,junco_bird,dense_2,2,-0.000684615933758348,0.0,0.0022907257080078125,0.002314448356628418,0.2860371050753362,0.34361477435214155,0.5482305024288675
323,junco_bird,dense_2,3,-0.0003422488510196331,0.0,0.006897568702697754,0.004501819610595703,0.2878641662675322,0.3416088723303162,0.5466044956698819
324,junco_bird,dense_2,4,-0.0034277502484734157,0.0,9.769201278686523e-05,0.00028192996978759766,0.2809215966571681,0.34993239299218315,0.5540375879881041
325,junco_bird,dense_2,5,-0.0020552356462394394,0.0,0.00020200014114379883,0.0005172491073608398,0.28209602222148467,0.34834055772185546,0.5524887163212628
326,junco_bird,dense_2,6,-0.006178474604606521,0.0,0.00043529272079467773,0.0008902549743652344,0.283513583418436,0.34657453934480303,0.5508020778900876
327,junco_bird,dense_2,7,-0.005146062181269118,0.0,0.001824796199798584,0.002065300941467285,0.2860113088312656,0.3436458986299768,0.5482324884764078
328,junco_bird,dense_2,8,-0.006178474604606521,0.0,2.3603439331054688e-05,0.00010371208190917969,0.27971385779966107,0.35154893693183237,0.5556645409855143
329,junco_bird,dense_2,9,-0.006178474604606521,0.0,0.0001265406608581543,0.00037682056427001953,0.28150894145414684,0.3491601489611415,0.5532480868602927
330,junco_bird,dense_2,10,-0.004458381297324121,0.0,0.0004023313522338867,0.0008565187454223633,0.2834758347857097,0.3466050546200686,0.5508278627677944
331,junco_bird,dense_2,11,-0.0013696890923694527,0.0,0.002225637435913086,0.0023148059844970703,0.2863386725717906,0.34325627075976956,0.5479433909138783
332,junco_bird,dense_2,12,-0.0017124031744572,0.16,0.000277101993560791,0.0006275177001953125,0.282201084816578,0.3482931425635786,0.5524632897818064
333,junco_bird,dense_2,13,0.00034210690307312497,2.18,0.0006834864616394043,0.0012366771697998047,0.28412697111653273,0.34588662486490096,0.5502212571196005
334,junco_bird,dense_2,14,0.0034159079023483585,6.72,0.0016585588455200195,0.002065896987915039,0.28573132888530506,0.34410978688722127,0.5486473729561285
335,junco_bird,dense_2,15,0.018978056593777715,59.0,0.025342822074890137,0.009405016899108887,0.28701515932276944,0.3429338159767296,0.5477786969920003
